date,school,party_s,party_rv,party_kf,party_nb,party_sf,party_vegan,party_la,party_kd,party_df,party_v,party_el,party_alt,blank,invalid,not_voted,valid,electorate,municipality,zip_code,region
2015-01-29,Aabybro Efterskole,3,2,3,,4,,3,0,1,25,2,,0,0,132,43,175,Jammerbugt Kommune,9440,Region Nordjylland
2015-01-29,Aakjærskolen,8,2,17,,4,,12,1,1,20,17,,1,0,27,82,110,Skive Kommune,7800,Region Midtjylland
2015-01-29,Aalborg Friskole,9,3,0,,14,,0,0,0,6,6,,2,0,8,38,48,Aalborg Kommune,9000,Region Nordjylland
2015-01-29,Aalbæk Skole,3,2,0,,0,,3,2,5,8,0,,1,1,5,23,30,Frederikshavn Kommune,9982,Region Nordjylland
2015-01-29,Aalykkeskolen,14,12,0,,0,,1,1,1,4,3,,0,0,5,36,41,Kolding Kommune,6000,Region Syddanmark
2015-01-29,Aarhus Efterskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Aarhus Kommune,8270,Region Midtjylland
2015-01-29,Aarupskolen,12,11,11,,9,,12,0,7,33,1,,0,2,5,96,103,Assens Kommune,5560,Region Syddanmark
2015-01-29,Åbenrå Friskole,5,3,1,,2,,2,1,3,13,3,,1,0,8,33,42,Aabenraa Kommune,6200,Region Syddanmark
2015-01-29,Absalons Skole,6,34,15,,23,,9,1,0,18,4,,0,0,30,110,140,Roskilde Kommune,4000,Region Sjælland
2015-01-29,Åbybro Friskole,4,2,3,,3,,10,0,1,7,0,,1,0,4,30,35,Jammerbugt Kommune,9440,Region Nordjylland
2015-01-29,Ådalens Privatskole,17,2,35,,1,,2,0,3,11,1,,1,0,11,72,84,Ishøj Kommune,2635,Region Hovedstaden
2015-01-29,Ådalens Skole,11,4,12,,7,,29,0,2,12,1,,2,3,67,78,150,Frederikssund Kommune,3600,Region Hovedstaden
2015-01-29,Ådalskolen,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Odense Kommune,5260,Region Syddanmark
2015-01-29,Ådalsskolen,13,2,0,,2,,2,0,5,6,4,,2,3,2,34,41,Syddjurs Kommune,8544,Region Midtjylland
2015-01-29,Ågård Efterskole,10,15,40,,0,,14,0,0,41,0,,1,4,11,120,136,Vejle Kommune,6040,Region Syddanmark
2015-01-29,Agedrup Skole,9,3,1,,3,,1,1,9,11,1,,4,0,52,39,95,Odense Kommune,5320,Region Syddanmark
2015-01-29,Agerbæk Skole,3,3,7,,3,,5,0,5,48,2,,1,3,11,76,91,Varde Kommune,6753,Region Syddanmark
2015-01-29,Agerskov Kristne Friskole,4,2,8,,5,,2,3,5,10,0,,2,2,8,39,51,Tønder Kommune,6534,Region Syddanmark
2015-01-29,Agerskov Ungdomsskole,1,3,0,,3,,0,0,11,10,8,,1,0,13,36,50,Tønder Kommune,6534,Region Syddanmark
2015-01-29,Ahi International School,8,10,0,,2,,3,0,1,1,3,,0,0,12,28,40,Københavns Kommune,2720,Region Hovedstaden
2015-01-29,Al Hikma Skolen,4,12,0,,2,,0,0,0,0,17,,0,0,2,35,37,Københavns Kommune,2450,Region Hovedstaden
2015-01-29,Al Quds Skole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Københavns Kommune,2400,Region Hovedstaden
2015-01-29,Al-Hilal Skolen,3,0,11,,3,,0,0,0,5,2,,12,1,3,24,40,Københavns Kommune,2400,Region Hovedstaden
2015-01-29,Ålestrup Realskole,7,0,8,,11,,7,0,19,35,1,,1,0,10,88,99,Vesthimmerlands Kommune,9620,Region Nordjylland
2015-01-29,Aller Friskole,2,0,1,,1,,3,0,5,2,0,,0,0,7,14,21,Kolding Kommune,6070,Region Syddanmark
2015-01-29,Allerslev Skole,6,20,8,,11,,26,0,5,19,5,,1,1,11,100,113,Lejre Kommune,4320,Region Sjælland
2015-01-29,Alminde-Viuf Fællesskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Kolding Kommune,6052,Region Syddanmark
2015-01-29,Amager Fælled Skole,13,8,2,,0,,2,0,5,5,23,,2,2,8,58,70,Københavns Kommune,2300,Region Hovedstaden
2015-01-29,Amager Lille Skole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Københavns Kommune,2300,Region Hovedstaden
